Date,Open,High,Low,Close,Adj Close,Volume
2013-06-03,486.420013,486.420013,465.299988,469.535004,410.954407,130730
2013-06-04,469.600006,476.000000,466.600006,468.924988,410.420563,163990
2013-06-05,469.489990,470.899994,464.700012,467.714996,409.361481,52030
2013-06-06,465.000000,465.399994,460.815002,462.339996,438.909088,62790
2013-06-07,464.500000,465.000000,456.299988,457.964996,434.755737,76050
2013-06-10,460.000000,461.440002,453.000000,454.029999,431.020264,54840
2013-06-11,452.839996,453.734985,446.500000,448.660004,425.922363,95120
2013-06-12,450.899994,451.799988,444.015015,449.079987,426.321075,48280
2013-06-13,446.500000,451.899994,443.125000,444.179993,421.669403,47260
2013-06-14,447.000000,459.440002,447.000000,455.920013,432.814453,61890
2013-06-17,455.700012,463.399994,453.200012,457.875000,434.670380,49290
2013-06-18,454.970001,460.200012,453.894989,457.890015,434.684631,44150
2013-06-19,456.375000,461.500000,454.929993,460.459991,437.124390,378910
2013-06-20,459.399994,459.399994,452.309998,456.820007,433.668854,28540
2013-06-21,455.100006,460.000000,451.500000,454.825012,431.774963,30110
2013-06-24,454.700012,455.355011,437.239990,439.204987,416.946472,96030
2013-06-25,442.000000,442.489990,430.200012,436.350006,414.236206,64940
2013-06-26,437.000000,452.299988,436.500000,449.149994,426.387543,107910
2013-06-27,453.500000,469.000000,450.799988,454.195007,431.176849,134620
2013-06-28,458.494995,464.570007,454.880005,463.000000,439.535645,86150
2013-07-01,463.489990,472.000000,455.000000,469.795013,445.986267,85290
2013-07-02,471.000000,473.445007,465.750000,467.345001,443.660431,57470
2013-07-03,466.000000,468.015015,454.899994,456.440002,433.308075,60900
2013-07-04,457.500000,462.000000,453.505005,456.445007,433.312836,60170
2013-07-05,458.309998,467.399994,457.765015,465.875000,442.264893,55810
2013-07-08,467.989990,469.774994,463.049988,466.765015,443.109802,80720
2013-07-09,467.899994,476.399994,467.709991,475.059998,450.984467,59440
2013-07-10,475.000000,484.399994,475.000000,477.915009,453.694794,322060
2013-07-11,480.100006,488.700012,480.100006,487.714996,462.998077,56420
2013-07-12,487.500000,490.700012,479.220001,482.489990,458.037872,58610
2013-07-15,482.369995,485.000000,470.000000,481.355011,456.960419,36100
2013-07-16,478.000000,485.345001,476.489990,483.369995,458.873322,51140
2013-07-17,483.399994,502.950012,483.399994,500.725006,475.348816,163290
2013-07-18,501.299988,523.585022,501.005005,521.549988,495.118439,301140
2013-07-19,521.500000,524.659973,515.104980,516.424988,490.253113,97270
2013-07-22,516.500000,522.304993,502.799988,507.690002,481.960785,188550
2013-07-23,500.000000,503.795013,490.100006,493.934998,468.902863,273490
2013-07-24,490.100006,501.500000,489.744995,498.894989,473.611511,141410
2013-07-25,498.605011,511.690002,498.500000,507.940002,482.198090,156200
2013-07-26,507.600006,517.200012,504.600006,507.904999,482.164886,193230
2013-07-29,507.890015,513.500000,506.299988,511.529999,485.606171,198390
2013-07-30,524.650024,524.700012,502.600006,510.250000,484.391052,183299
2013-07-31,512.000000,514.000000,496.000000,507.100006,481.400726,122747
2013-08-01,516.000000,516.000000,487.100006,496.549988,471.385376,203088
2013-08-02,498.000000,503.700012,492.000000,497.649994,472.429688,51568
2013-08-05,499.799988,499.799988,470.500000,474.399994,450.357880,101445
2013-08-06,471.000000,471.000000,435.000000,437.649994,415.470337,173868
2013-08-07,439.950012,439.950012,411.600006,423.649994,402.179871,276947
2013-08-08,427.500000,435.000000,423.500000,431.100006,409.252319,102557
2013-08-12,433.899994,439.000000,418.799988,436.350006,414.236206,112846
2013-08-13,438.000000,442.649994,430.000000,440.250000,417.938599,88879
2013-08-14,442.000000,443.000000,430.000000,434.299988,412.290161,86860
2013-08-16,436.700012,437.000000,415.049988,417.649994,396.483978,107662
2013-08-19,421.000000,431.000000,398.100006,426.799988,405.170258,179790
2013-08-20,421.899994,424.000000,405.549988,418.000000,396.816223,354008
2013-08-21,424.899994,427.600006,410.000000,414.700012,393.683441,172457
2013-08-22,416.950012,424.899994,412.250000,420.600006,399.284454,123890
2013-08-23,420.000000,424.950012,415.000000,420.500000,399.189514,109944
2013-08-26,422.149994,434.149994,421.000000,430.350006,408.540314,293193
2013-08-27,427.000000,434.000000,405.850006,410.549988,389.743713,254864
2013-08-28,403.100006,403.100006,376.350006,391.899994,372.038971,428639
2013-08-29,397.700012,409.500000,390.000000,403.000000,382.576355,129369
2013-08-30,405.000000,422.299988,395.000000,418.750000,397.528229,206493
2013-09-02,421.000000,427.799988,418.750000,423.299988,401.847595,97579
2013-09-03,422.000000,423.549988,395.750000,398.799988,378.589233,299684
2013-09-04,400.000000,408.950012,399.500000,403.950012,383.478180,81093
2013-09-05,407.000000,411.500000,403.000000,406.500000,385.899017,78028
2013-09-06,406.000000,426.899994,406.000000,424.549988,403.034180,152430
2013-09-10,425.500000,450.000000,425.500000,445.399994,422.827576,131294
2013-09-11,446.000000,446.000000,434.000000,444.600006,422.068176,65020
2013-09-12,447.000000,451.000000,435.100006,437.700012,415.517853,42951
2013-09-13,437.700012,445.200012,435.899994,442.100006,419.694824,34181
2013-09-16,444.000000,458.000000,437.000000,442.200012,419.789734,122427
2013-09-17,442.000000,443.899994,438.000000,442.250000,419.837219,34878
2013-09-18,444.000000,448.450012,439.450012,445.600006,423.017426,38636
2013-09-19,449.000000,485.799988,449.000000,478.850006,454.582367,234261
2013-09-20,482.700012,490.000000,469.049988,487.549988,462.841431,107406
2013-09-23,488.000000,495.100006,480.549988,486.149994,461.512482,593114
2013-09-24,485.000000,504.000000,482.500000,485.850006,461.227661,133115
2013-09-25,486.000000,490.000000,472.149994,478.500000,454.250183,63073
2013-09-26,479.799988,484.049988,476.200012,478.500000,454.250183,44940
2013-09-27,481.000000,485.750000,469.000000,471.049988,447.177643,305212
2013-09-30,469.000000,470.000000,457.049988,459.350006,436.070587,57164
2013-10-01,461.000000,462.350006,452.000000,454.649994,431.608765,79830
2013-10-03,458.000000,477.100006,458.000000,470.799988,446.940308,87066
2013-10-04,474.500000,475.950012,465.000000,466.950012,443.285492,66379
2013-10-07,469.000000,470.000000,457.100006,463.250000,439.772949,68494
2013-10-08,466.000000,471.600006,458.100006,459.450012,436.165558,67572
2013-10-09,458.000000,471.000000,454.700012,469.600006,445.801178,92099
2013-10-10,469.000000,482.899994,469.000000,479.000000,454.724854,95878
2013-10-11,484.000000,487.000000,477.149994,483.649994,459.139191,66818
2013-10-14,480.250000,480.250000,469.000000,470.799988,446.940308,70008
2013-10-15,472.000000,482.799988,470.000000,479.350006,455.057068,109609
2013-10-17,481.299988,488.950012,475.000000,485.899994,461.275085,73011
2013-10-18,485.100006,494.500000,476.600006,486.950012,462.271912,175834
2013-10-21,489.000000,529.349976,488.549988,516.500000,490.324371,710290
2013-10-22,529.250000,531.900024,510.500000,523.299988,496.779633,464322
2013-10-23,525.000000,529.000000,515.549988,521.599976,495.165771,117755
2013-10-24,521.000000,533.000000,519.000000,521.099976,495.736572,178679
2013-10-25,519.000000,522.450012,512.000000,513.349976,488.363892,64750
2013-10-28,513.900024,517.900024,500.000000,502.200012,477.756561,58323
2013-10-29,502.200012,520.200012,495.500000,518.650024,493.405884,112015
2013-10-30,520.000000,529.400024,517.250000,527.900024,502.205658,118300
2013-10-31,528.049988,540.000000,526.900024,538.400024,512.194580,152931
2013-11-01,535.000000,543.000000,530.099976,540.849976,514.525208,135860
2013-11-05,539.000000,549.500000,535.299988,546.049988,519.472412,91672
2013-11-06,548.000000,555.000000,542.049988,551.000000,524.181213,71650
2013-11-07,551.000000,558.000000,547.250000,551.400024,524.561829,71560
2013-11-08,551.000000,560.000000,546.950012,556.500000,529.413696,74491
2013-11-11,559.000000,559.000000,545.000000,547.599976,520.946838,59221
2013-11-12,546.099976,551.599976,528.650024,531.049988,505.202362,44918
2013-11-13,525.000000,531.950012,518.250000,522.700012,497.258728,75656
2013-11-14,525.000000,530.000000,511.899994,513.750000,488.744354,75851
2013-11-18,520.000000,528.000000,515.549988,526.200012,500.588379,66668
2013-11-19,528.000000,534.099976,528.000000,530.650024,504.821899,57547
2013-11-20,533.000000,536.950012,522.000000,524.549988,499.018738,63862
2013-11-21,522.000000,522.000000,507.750000,510.500000,485.652588,63666
2013-11-22,513.000000,514.849976,505.000000,508.200012,483.464478,53063
2013-11-25,510.000000,519.299988,510.000000,516.450012,491.313019,52543
2013-11-26,513.000000,517.000000,505.549988,506.799988,482.132660,157362
2013-11-27,506.500000,508.000000,499.750000,504.399994,479.849457,68474
2013-11-28,509.850006,513.000000,500.100006,504.549988,479.992218,69665
2013-11-29,505.950012,507.750000,502.250000,503.350006,478.850647,95651
2013-12-02,509.000000,509.000000,503.149994,504.950012,480.372833,99218
2013-12-03,506.700012,514.700012,503.000000,504.250000,479.706787,265074
2013-12-04,507.450012,507.899994,501.000000,502.250000,477.804138,77635
2013-12-05,505.000000,509.450012,503.399994,504.049988,479.516510,67282
2013-12-06,505.450012,511.000000,501.500000,503.950012,479.421356,57864
2013-12-09,509.600006,512.799988,503.000000,504.350006,479.801941,59393
2013-12-10,505.399994,508.000000,496.549988,504.299988,479.754333,59602
2013-12-11,505.000000,506.100006,499.549988,501.799988,477.376038,37207
2013-12-12,501.899994,505.549988,495.049988,498.250000,473.998810,42289
2013-12-13,497.000000,498.500000,490.200012,493.750000,469.717834,51082
2013-12-16,498.000000,498.000000,485.250000,486.399994,462.725616,37859
2013-12-17,486.000000,494.000000,483.000000,491.250000,467.339478,65902
2013-12-18,492.899994,498.450012,487.100006,497.100006,472.904785,53102
2013-12-19,499.000000,500.399994,485.200012,486.049988,462.392639,72386
2013-12-20,486.000000,491.600006,482.899994,489.399994,465.579559,70154
2013-12-23,491.000000,492.200012,485.750000,488.100006,464.342834,49489
2013-12-24,490.000000,492.100006,485.700012,487.649994,463.914734,81072
2013-12-26,487.500000,491.000000,486.149994,489.500000,465.674713,49755
2013-12-27,490.000000,491.399994,483.000000,485.149994,461.536469,77672
2013-12-30,486.899994,490.500000,482.899994,487.649994,463.914734,50962
2013-12-31,488.000000,492.649994,486.500000,490.750000,466.863922,71060
2014-01-01,493.750000,503.700012,492.299988,499.850006,475.520966,161632
2014-01-02,503.899994,505.750000,483.200012,485.500000,461.869415,112445
2014-01-03,482.600006,491.500000,480.500000,489.399994,465.579559,96681
2014-01-06,491.700012,492.200012,483.000000,490.399994,466.530884,72274
